EOYBYear,collectDate,sortDate,marshName,marshAbbrev,transect,locationID,replicate,speciesName,liveMass,deadMass,unknownMass,totalMass,sampleComment
1999,,,Bellvue,BV,A,1,a,Spartina alterniflora,43,3.8,0,46.8,
1999,,,Bellvue,BV,A,1,b,Spartina alterniflora,0,0.8,0,0.8,
1999,,,Bellvue,BV,A,2,a,Distichlis spicata,2.8,3.4,0,6.2,
1999,,,Bellvue,BV,A,2,a,Spartina alterniflora,15.5,4.9,0,20.4,
1999,,,Bellvue,BV,A,2,b,Distichlis spicata,0.3,0.1,0,0.4,
1999,,,Bellvue,BV,A,2,b,Salicornia sp.,5.1,0.1,0,5.2,
1999,,,Bellvue,BV,A,2,b,Spartina alterniflora,20.1,15.4,0,35.5,
1999,,,Bellvue,BV,A,4,a,Distichlis spicata,2.4,1.2,0,3.6,
1999,,,Bellvue,BV,A,4,a,Spartina patens,34,14.9,0,48.9,
1999,,,Bellvue,BV,A,4,b,Distichlis spicata,11.2,4.5,0,15.7,
1999,,,Bellvue,BV,A,4,b,Spartina patens,7,26.9,0,33.9,
1999,,,Bellvue,BV,B,1,a,Spartina alterniflora,57.5,2.3,0,59.8,
1999,,,Bellvue,BV,B,1,b,Spartina alterniflora,81.7,9.6,0,91.3,
1999,,,Bellvue,BV,B,2,a,Spartina alterniflora,5.3,4.5,0,9.8,
1999,,,Bellvue,BV,B,4,a,Distichlis spicata,26.5,3.5,0,30,
1999,,,Bellvue,BV,B,4,a,Spartina patens,6.9,0.2,0,7.1,
1999,,,Bellvue,BV,B,4,b,Distichlis spicata,3.9,2.9,0,6.8,
1999,,,Bellvue,BV,B,4,b,Spartina patens,5,1.7,0,6.7,
1999,,,Bellvue,BV,C,1,a,Spartina alterniflora,0.1,80.2,0,80.3,
1999,,,Bellvue,BV,C,1,b,Spartina alterniflora,0,7.2,0,7.2,
1999,,,Bellvue,BV,C,2,a,Salicornia sp.,0,5,0,5,
1999,,,Bellvue,BV,C,2,a,Spartina alterniflora,4.9,1.5,0,6.4,
1999,,,Bellvue,BV,C,2,b,Distichlis spicata,0.8,0.3,0,1.1,
1999,,,Bellvue,BV,C,2,b,Salicornia sp.,0,5.2,0,5.2,
1999,,,Bellvue,BV,C,2,b,Spartina alterniflora,2.7,1.6,0,4.3,
